image,velocity,angular_velocity,x,y
88.png,0.09999999999999999,0.0,-5.9429035622518205,-7.282793198944101
89.png,0.09999999999999999,0.0,-5.9395041006459035,-7.282736769366851
90.png,0.09999999999999999,0.0,-5.929305557532771,-7.282567405583215
91.png,0.09999999999999999,0.0,-5.89870992370367,-7.282059016997799
92.png,0.09999999999999999,0.0,-5.888511378528721,-7.281889397035732
93.png,0.09999999999999999,0.0,-5.874913405169089,-7.28166319427737
94.png,0.09999999999999999,0.0,-5.861315201144247,-7.281436848240897
95.png,0.09999999999999999,0.0,-5.8239205131002665,-7.280813838050232
96.png,0.09999999999999999,0.0,-5.813722066258494,-7.280643803661281
97.png,0.09999999999999999,0.0,-5.800124054051531,-7.280416951912702
98.png,0.09999999999999999,0.0,-5.7899255757226396,-7.280246749512909
99.png,0.09999999999999999,0.0,-5.776327438003997,-7.280019713772429
100.png,0.09999999999999999,0.0,-5.766128989483962,-7.279849345758476
101.png,0.09999999999999999,0.0,-5.759329949115956,-7.279735756449384
102.png,0.09999999999999999,0.0,-5.732133880299744,-7.279281082764849
103.png,0.09999999999999999,0.0,-5.732133880299744,-7.279281082764849
104.png,0.09999999999999999,0.0,-5.728734424521135,-7.279224203861986
105.png,0.09999999999999999,0.0,-5.721935376334853,-7.279110421497339
106.png,0.09999999999999999,0.0,-5.704937864978865,-7.278825940254744
107.png,0.09999999999999999,0.0,-5.687940343709137,-7.278541248694044
108.png,0.09999999999999999,0.0,-5.6641437930836105,-7.2781423989582805
109.png,0.09999999999999999,0.0,-5.650545707192611,-7.277914329805843
110.png,0.09999999999999999,0.0,-5.6403472195853555,-7.277743182586656
111.png,0.09999999999999999,0.0,-5.6301487326214446,-7.277572005402454
112.png,0.09999999999999999,0.0,-5.6165506335675675,-7.2773436246234775
113.png,0.09999999999999999,0.0,-5.5995531647203665,-7.2770580527954785
114.png,0.09999999999999999,0.0,-5.582555690551824,-7.276772297121802
115.png,0.09999999999999999,0.0,-5.565558155346326,-7.276486339857327
116.png,0.09999999999999999,0.0,-5.517965179509546,-7.275684768650207
117.png,0.09999999999999999,0.0,-5.517965179509546,-7.275684768650207
118.png,0.09999999999999999,0.0,-5.514565659388787,-7.275627443052951
119.png,0.09999999999999999,0.0,-5.511166143440429,-7.275570119650447
120.png,0.09999999999999999,0.0,-5.504367178103165,-7.275455497044929
121.png,0.09999999999999999,0.0,-5.490769100300917,-7.275226083369089
122.png,0.09999999999999999,0.0,-5.477171178647163,-7.274996612585962
123.png,0.09999999999999999,0.0,-5.466972663581841,-7.274824394174205
124.png,0.09999999999999999,0.0,-5.422779171497625,-7.274077499560354
125.png,0.09999999999999999,0.0,-5.409181146247658,-7.273847431149631
126.png,0.09999999999999999,0.0,-5.395583193886516,-7.273617285359534
127.png,0.09999999999999999,0.0,-5.381985199731123,-7.2733869901166495
128.png,0.09999999999999999,0.0,-5.36498767986652,-7.2730989603645515
129.png,0.09999999999999999,0.0,-5.35138981495788,-7.272868454314805
130.png,0.09999999999999999,0.0,-5.341191282066001,-7.272695478268322
131.png,0.09999999999999999,0.0,-5.320794304399211,-7.272349332738038
132.png,0.09999999999999999,0.0,-5.317394824223449,-7.272291635998116
133.png,0.09999999999999999,0.0,-5.3139953663106025,-7.272233928804667
134.png,0.09999999999999999,0.0,-5.310595924013316,-7.272176190023534
135.png,0.09999999999999999,0.0,-5.296997924452899,-7.2719452004710705
